CCC_ACADEMIC_TITLE
CCC_ACADEMIC_TITLE_CODE
CCC_BUILDING
CCC_DATE_OF_BIRTH
CCC_DATE_START
CCC_DISPLAY_NAME
CCC_EMAIL_ADDRESS_PRIVATE
CCC_EMAIL_ADDRESS_WORK
CCC_EMPLOYEE_NUMBER
CCC_FLOOR_NUMBER
CCC_INITIALS
CCC_KNOWN_AS
CCC_LAST_NAME
CCC_NAME_PREFERENCE
CCC_NAME_PREFERENCE_CODE
CCC_PARTNER_LAST_NAME
CCC_PARTNER_PRE_NAME_ADJUNCT
CCC_PERSON_ID
CCC_PHONE_NUMBER_BGG
CCC_PHONE_NUMBER_FAX
CCC_PHONE_NUMBER_INTERN_LONG
CCC_PHONE_NUMBER_INTERN_SHORT
CCC_PHONE_NUMBER_MOBILE
CCC_PHONE_NUMBER_PAGER
CCC_PHONE_NUMBER_SEMAPHONE
CCC_PHONE_NUMBER_TELEWORK
CCC_POST_NUMBER
CCC_PRE_NAME_ADJUNCT
CCC_PREFERRED_LAST_NAME_TOTAL
CCC_REVOKE_DIGITAL_ACCESS
CCC_ROOM_NUMBER_LOGICAL
CCC_ROOM_NUMBER_TECHNICAL
CCC_ROUTE
CCC_SEX
CCC_SUB_ACADEMIC_TITLE
CCC_SUB_ACADEMIC_TITLE_CODE
CCC_TERMINATION_DATE
CCC_WORK_ADDRESS
CCC_WORK_CITY
CCC_WORK_POSTCODE
UID_CCC_OAM_IDENTITIES
XDateInserted
XDateUpdated
XMarkedForDeletion
XObjectKey
XTouched
XUserInserted
XUserUpdated
